OBA_ID	Sample_ID	Station	Depth	Size fraction	Latitude	Longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
11	TARA_N010000326	TARA_175	MIX	[20-180µm]	79.3473	66.2868	TARA_175_MIX_20-180	TARA_175	ERS1308833		SAMEA4397384	SEQ-(500mL-or-15min)_N20-180	MIX	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	20	180	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000326	2013-07-11T05:45	-437	1.050145	34.635485	27.81942	157.537	0.48612	0-100	0.002825	322.595		0.00109338	0.000589373	0.003293654	6.750465393			117.25098800659	0.00067235049209557	0.00595	0.11845		0.01345	0.00535	7.983	0.02475	0.180318	1.37375	1.133341	355	33	22	29	404								0.02045	0.0087	0.11845	0.01535	0.00815	0.0177	0.01095	0.00145	79.3473	66.2868	0	summer	early		0	0
12	TARA_N010000526	TARA_168	MIX	[>0.8µm]	72.5199	44.0552	TARA_168_MIX_0.8->	TARA_168	ERS1308647		SAMEA4397198	SEQ-(100L-or-15min)_W>0.8	MIX	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000526	2013-07-02T04:24	-266	3.1072	34.978285	27.85433	254.8841	0.27075	10-100	0.025193	303.31905	0	0.000430005	0.006979311	0.001609991	0.041430494			119.77401733398	0.0005794366588816	0.00035	0.11945		0	0.00745		0	0.098435	0.821	1.459545	12		40	39	125	76							0.03015	0	0.11945	0	0.02775	0.0164	0.00545	0	72.5199	44.0552	0	summer	early	-0.011538	0.011037	1.222222
13	TARA_N010000154	TARA_201	DCM	[>0.8µm]	74.3386	-85.6208	TARA_201_DCM_0.8->	TARA_201	ERS1309520		SAMEA4398071	SEQ-(100L-or-15min)_W>0.8	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000154	2013-09-30T22:33	-547	-0.409335	31.947283	25.654808	20.551	1.50066	36	0.05962	343.877833	5.355932	0.000958759	0.000747411	0.010224308	6.634556611					0	0.5729		0	0.0445		0.025	0.6443	2.133	4.087196	150	28	8	13	146	42							0.0535	0	0.5729	0.0026	0	0	0	0	74.3386	-85.6208	0.652313606	autumn	early		0	0
14	TARA_N010000642	TARA_158	SRF	[180-2000µm]	67.1188	0.3271	TARA_158_SRF_180-2000	TARA_158	ERS1308398		SAMEA4396949	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	TARA_N010000642	2013-06-03T09:46	-3412	8.47447	35.145165	27.314165	520.3413	2.3802	5	11.6928	311.7827	5.218798	0.000599484	0.023701385	0.03278591	5.405942082			114.88161468506	0.00077487615635619	0	0.1674		0.02345	0.00185	7.852	0.13475	0.356899	5.1155	4.012069	10	14	7	14	46	519							0.15425	0.00585	0.1674	0.01245	0.7665	0.0175	0.00295	0	67.1188	0.3271	0	spring	late	0.189385	0.121118	0
15	TARA_N010000840	TARA_180	DCM	[180-2000µm]	74.8237	76.3349	TARA_180_DCM_180-2000	TARA_180	ERS1308993		SAMEA4397544	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000840	2013-07-18T11:53	-32	-1.2923	34.1915	27.5085	171.3892	0.7728	35	0	360.60625		0.001387656	0.003474399	0.01667134	2.7429805			1204.9135131836	0.00033205878571607	0	0.7475		0	0.01325		0.0355	0.383179	1.39175	5.784145	11	34	5	23	34								0.0144	0	0.7475	0	0	0.001	0.0012	0	74.8237	76.3349	0	summer	early	0.010402	0	3.777778
16	TARA_N010000555	TARA_173	SRF	[0.8-20µm]	78.9564	79.4201	TARA_173_SRF_3-20	TARA_173	ERS1308693		SAMEA4397244	SEQ-(10-100L-or-15min)_W3-20	SRF	[SRF] surface water layer (ENVO:00010504)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000555	2013-07-08T04:12	-87	-0.160312	33.613775	26.994413	102.636	0.0441	5	19.445208	385.28075	2.099614	0.001215531	0.004081616	0.020618707	6.240898371					0.00325	0.43265		0.00095	0.0218	8.051	0.0015	0.056871	0.441	0.273079	15	47	19	14	47	46							0.02775	0	0.43265	0	0.0034	0.0172	0.0143	0.0034	78.9564	79.4201	5.30974521	summer	early		0	4.833333
17	TARA_N010000037	TARA_189	MES	[>0.8µm]	78.0391	116.41	TARA_189_MES_0.8->	TARA_189	ERS1309183		SAMEA4397734	SEQ-(100L-or-15min)_W>0.8	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000037	2013-08-28T00:47	-745	1.59404	34.92558	27.94409	183.955	-0.0078	299		293.889		0.001270051	0.000620584	0.00842355	4.560707092															499	18	4	16	844																78.0391	116.4105	0	summer	late		0	0
18	TARA_N010000065	TARA_191	SRF	[180-2000µm]	71.5719	160.938	TARA_191_SRF_180-2000	TARA_191	ERS1309229		SAMEA4397780	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000065	2013-09-02T23:25	-21	1.48885	28.41685	22.7306	82.0806	0.4392	5		340.44375		0.001360622	0.000260443	0.008790679	7.268763781					0.00085	0.05735		0.0039	0.0083	7.74	0.07525	1.195806	1.06325	19.646147	20	17	19	16	8								0.00375	0	0.05735	0.003	0.003	0.0018	0.00215	0	71.5719	160.9383	0	summer	late	-0.089788	0	2.777778
19	TARA_N010000334	TARA_175	MIX	[0.8-20µm]	79.3349	66.2954	TARA_175_MIX_3-20	TARA_175	ERS1308849		SAMEA4397400	SEQ-(10-100L-or-15min)_W3-20	MIX	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000334	2013-07-11T06:13	-437	1.025705	34.691775	27.839725	157.537	0.59478	10-100	0.001624	314.71675		0.00109338	0.000589373	0.003293654	6.750465393			117.25098800659	0.00067235049209557	0.0055	0.0912		0.0125	0.0043		0.0475	0.35669	2.5925	1.74362	355	33	22	29	404								0.0181	0.0027	0.0912	0.0146	0.0081	0.0131	0.0104	0.0014	79.3349	66.2954	0	summer	early		0	0
20	TARA_N010000980	TARA_210	MES	[0.8-20µm]	61.5754	-55.9846	TARA_210_MES_3-20	TARA_210	ERS1309870		SAMEA4398421	SEQ-(10-100L-or-15min)_W3-20	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000980	2013-10-27T16:30	-2760	4.791395	34.939595	27.65512	308.7184	-0.0018	391	0	271.8744	16.017641	0.000208521	0.035179306	0.348001957	2.06166782					0	0.0023		0.0011	0.0024		0.134	0.851461	9.908	4.07817	274		79	13	317	73							0.0006	0.0011	0.0023	0	0.0009	0	0	0	61.5754	-55.9846	0	autumn	middle	0.215913	0.078105	0
21	TARA_N010000846	TARA_178	SRF	[180-2000µm]	77.3047	73.2462	TARA_178_SRF_180-2000	TARA_178	ERS1308915		SAMEA4397466	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000846	2013-07-15T06:08	-225	1.325833	34.142392	27.333308	114.3795	0.03525	5	16.808389	348.196667		0.001328503	0.003428314	0.021517911	5.088556846			63.500640869141	0.00027438638790045	0.0034	0.023975		0.00305	0	7.996	0.008333	0.047034	0.278	0.244154	24	27	46	42	203								0.004275	0.0008	0.023975	0.00785	0.011925	0.002875	0.006325	0.003525	77.3047	73.2462	0	summer	early	-0.040917	0	0
22	TARA_N010000218	TARA_205	SRF	[0.8-20µm]	72.4693	-71.892	TARA_205_SRF_3-20	TARA_205	ERS1309549		SAMEA4398100	SEQ-(10-100L-or-15min)_W3-20	SRF	[SRF] surface water layer (ENVO:00010504)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000218	2013-10-08T12:15	-1053	-0.479225	31.99537	25.7008	9.7492	1.98441	5		353.1935	3.880872	0.000596423	0.018947516	0.152390116	1.684819688					0.00315	0.8194		0	0.08155	7.898	0.0895	0.560568	0.411	0.298067	239	26	47	16	983	51							0.1347	0	0.8194	0.0082	0.00455	0	0.008	0	72.4693	-71.892	0	autumn	early	0.189964	0.113334	0
23	TARA_N010000015	TARA_189	DCM	[180-2000µm]	77.9401	116.905	TARA_189_DCM_180-2000	TARA_189	ERS1309131		SAMEA4397682	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000015	2013-08-27T04:34	-1071	-1.53759	33.76046	27.16621	47.9959	0.87084	35		348.3667		0.001270051	0.000620584	0.00842355	4.560707092															150	21	6	13	1010																77.9401	116.9045	0	summer	middle		0	0
24	TARA_N010000023	TARA_189	DCM	[>0.8µm]	77.9668	116.656	TARA_189_DCM_0.8->	TARA_189	ERS1309158		SAMEA4397709	SEQ-(100L-or-15min)_W>0.8	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000023	2013-08-27T11:40	-669	-0.607125	32.726735	26.29815	182.5206	1.5105	20		371.05845		0.001270051	0.000620584	0.00842355	4.560707092															499	20	5	13	618																77.9668	116.6556	0	summer	late		0	0
25	TARA_N010000281	TARA_206	MES	[>0.8µm]	70.9433	-53.5127	TARA_206_MES_0.8->	TARA_206	ERS1309675		SAMEA4398226	SEQ-(100L-or-15min)_W>0.8	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000281	2013-10-12T18:02	-680	3.03554	34.50669	27.488995	7.5708	-0.01008	411		230.0861	13.409788	0.000494336	0.022793755	0.19323191	0.170150639															205	14	35	15	472	505															70.9433	-53.5127	0.251729518	autumn	early		0	0
26	TARA_N010000921	TARA_188	SRF	[180-2000µm]	78.2943	91.7398	TARA_188_SRF_180-2000	TARA_188	ERS1309045		SAMEA4397596	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000921	2013-08-15T02:16	-33	-1.649738	32.950844	26.511331	112.7778	2.2128	5		388.303875		0.001304139	0.002257904	0.010750825	4.442976594					0.0316	1.68195		0	0.2274	7.952	0.074	0.216027	0.513	0.465648	27	19	20	14	27								0.0439	0	1.68195	0.09535	0	0	0.01305	0.0031	78.2943	91.7398	53.63966748	summer	middle	-0.072783	0	0
27	TARA_N010000917	TARA_188	SRF	[20-180µm]	78.3389	91.6572	TARA_188_SRF_20-180	TARA_188	ERS1309053		SAMEA4397604	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000917	2013-08-15T04:39	-33	-1.649737	32.950844	26.511331	112.7778	2.2128	5		388.303875		0.001304139	0.002257904	0.010750825	4.442976594					0.0316	1.68195		0	0.2274	7.952	0.074	0.216027	0.513	0.465648	27	19	20	14	27								0.0439	0	1.68195	0.09535	0	0	0.01305	0.0031	78.3389	91.6572	50.07941677	summer	middle	-0.072783	0	0
28	TARA_N010000204	TARA_201	MES	[0.8-20µm]	74.305	-85.6552	TARA_201_MES_3-20	TARA_201	ERS1309439		SAMEA4397990	SEQ-(10-100L-or-15min)_W3-20	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000204	2013-09-29T16:37	-540	0.994025	34.342505	27.51832	21.643	-0.00648	441	0	233.314	10.238791	0.000958759	0.000747411	0.010224308	6.634556611					0	0.0118		0	0	7.705					14	33	9	13	520	99							0.0004	0	0.0118	0	0	0	0	0	74.305	-85.6552	0.512138506	autumn	early		0	0
29	TARA_N010000073	TARA_193	SRF	[0.8-20µm]	71.0704	174.992	TARA_193_SRF_3-20	TARA_193	ERS1309253		SAMEA4397804	SEQ-(10-100L-or-15min)_W3-20	SRF	[SRF] surface water layer (ENVO:00010504)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000073	2013-09-08T02:45	-39	2.4534	29.0291	23.1614	106.53	0.8718	5	4.166652	339.4475	0	0.000702537	0.006029853	0.095924451	14.03496305			132.81981658936	0.00070417727692984	0.0031	0.1744		0.0072	0.002	7.964	0.125	1.614977	6.2695	30.149509	17	13	25	27	35	30							0.0251	0.0107	0.1744	0.0078	0.0052	0.0117	0.0038	0.0006	71.0704	174.9916	0	summer	late		0	0
30	TARA_N010000106	TARA_194	SRF	[20-180µm]	73.3826	-168.32	TARA_194_SRF_20-180	TARA_194	ERS1309326		SAMEA4397877	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000106	2013-09-11T22:32	-107	-0.585333	27.442	22.016175	394.524	0.1806	5		368.662625	0	0.000713809	0.002943427	0.086454551	12.09370343					0.0032	0.0658		0.0037	0	7.963	0.126	0.361653	0.2285	1.424261	14	30	10	25	81	39							0.0116	0	0.0658	0.0061	0.0098	0.0049	0.0025	0.0021	73.3826	-168.3204	0	summer	late		0	0
31	TARA_N010000522	TARA_168	MIX	[0.8-20µm]	72.5199	44.0552	TARA_168_MIX_3-20	TARA_168	ERS1308653		SAMEA4397204	SEQ-(10-100L-or-15min)_W3-20	MIX	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000522	2013-07-02T04:24	-266	3.1072	34.978285	27.85433	254.8841	0.27075	10-100	0.025193	303.31905	0	0.000430005	0.006979311	0.001609991	0.041430494			119.77401733398	0.0005794366588816	0.00035	0.11945		0	0.00745		0	0.098435	0.821	1.459545	12		40	39	125	76							0.03015	0	0.11945	0	0.02775	0.0164	0.00545	0	72.5199	44.0552	0	summer	early	-0.011538	0.011037	1.222222
32	TARA_N010000113	TARA_194	DCM	[20-180µm]	73.3727	-168.658	TARA_194_DCM_20-180	TARA_194	ERS1309336		SAMEA4397887	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000113	2013-09-12T01:59	-107	-0.987833	31.56495	25.370225	394.524	0.6449	35		396.848083	0	0.000713809	0.002943427	0.086454551	12.09370343					0.0017	0.2799		0	0.0212		0.441	0.866194	1.9045	5.566842	14	30	10	25	81	39							0.03095	0	0.2799	0.0065	0.0096	0.007	0.0026	0	73.3727	-168.6575	0	summer	late		0	0
